movie_title,title_year,director_name,genres,duration,budget,gross,language,country,content_rating,color,movie_imdb_link,num_user_for_reviews,imdb_score
Metropolis ,1927,Fritz Lang,Drama|Sci-Fi,145,6000000,26435,German,Germany,Not Rated, Black and White,http://www.imdb.com/title/tt0017136/?ref_=fn_tt_tt_1,413,8.3
The Broadway Melody ,1929,Harry Beaumont,Musical|Romance,100,379000,2808000,English,USA,Passed, Black and White,http://www.imdb.com/title/tt0019729/?ref_=fn_tt_tt_1,71,6.3
42nd Street ,1933,Lloyd Bacon,Comedy|Musical|Romance,89,439000,2300000,English,USA,Unrated, Black and White,http://www.imdb.com/title/tt0024034/?ref_=fn_tt_tt_1,97,7.7
Top Hat ,1935,Mark Sandrich,Comedy|Musical|Romance,81,609000,3000000,English,USA,Approved, Black and White,http://www.imdb.com/title/tt0027125/?ref_=fn_tt_tt_1,98,7.8
Modern Times ,1936,Charles Chaplin,Comedy|Drama|Family,87,1500000,163245,English,USA,G, Black and White,http://www.imdb.com/title/tt0027977/?ref_=fn_tt_tt_1,211,8.6
Snow White and the Seven Dwarfs ,1937,William Cottrell,Animation|Family|Fantasy|Musical,83,2000000,184925485,English,USA,Approved,Color,http://www.imdb.com/title/tt0029583/?ref_=fn_tt_tt_1,204,7.7
Gone with the Wind ,1939,Victor Fleming,Drama|History|Romance|War,226,3977000,198655278,English,USA,G,Color,http://www.imdb.com/title/tt0031381/?ref_=fn_tt_tt_1,706,8.2
The Wizard of Oz ,1939,Victor Fleming,Adventure|Family|Fantasy|Musical,102,2800000,22202612,English,USA,Passed, Black and White,http://www.imdb.com/title/tt0032138/?ref_=fn_tt_tt_1,533,8.1
Pinocchio ,1940,Norman Ferguson,Animation|Family|Fantasy|Musical,88,2600000,84300000,English,USA,Approved,Color,http://www.imdb.com/title/tt0032910/?ref_=fn_tt_tt_1,147,7.5
Fantasia ,1940,James Algar,Animation|Family|Fantasy|Music,120,2280000,76400000,English,USA,G,Color,http://www.imdb.com/title/tt0032455/?ref_=fn_tt_tt_1,230,7.8
Duel in the Sun ,1946,King Vidor,Drama|Romance|Western,144,8000000,20400000,English,USA,Unrated,Color,http://www.imdb.com/title/tt0038499/?ref_=fn_tt_tt_1,87,6.9
The Best Years of Our Lives ,1946,William Wyler,Drama|Romance|War,172,2100000,23650000,English,USA,Not Rated, Black and White,http://www.imdb.com/title/tt0036868/?ref_=fn_tt_tt_1,235,8.1
The Lady from Shanghai ,1947,Orson Welles,Crime|Drama|Film-Noir|Mystery|Thriller,92,2300000,7927,English,USA,Not Rated, Black and White,http://www.imdb.com/title/tt0040525/?ref_=fn_tt_tt_1,175,7.7
The Pirate ,1948,Vincente Minnelli,Adventure|Comedy|Musical|Romance,102,3700000,2956000,English,USA,Approved,Color,http://www.imdb.com/title/tt0040694/?ref_=fn_tt_tt_1,54,7.1
Annie Get Your Gun ,1950,George Sidney,Biography|Comedy|Musical|Romance|Western,107,3768785,8000000,English,USA,Passed,Color,http://www.imdb.com/title/tt0042200/?ref_=fn_tt_tt_1,90,7
The Greatest Show on Earth ,1952,Cecil B. DeMille,Drama|Family|Romance,152,4000000,36000000,English,USA,Not Rated,Color,http://www.imdb.com/title/tt0044672/?ref_=fn_tt_tt_1,107,6.7
The Robe ,1953,Henry Koster,Drama|History,135,5000000,36000000,English,USA,Unrated,Color,http://www.imdb.com/title/tt0046247/?ref_=fn_tt_tt_1,69,6.8
"The Beast from 20,000 Fathoms ",1953,Eugène Lourié,Adventure|Horror|Sci-Fi,80,210000,5000000,English,USA,Approved, Black and White,http://www.imdb.com/title/tt0045546/?ref_=fn_tt_tt_1,88,6.7
On the Waterfront ,1954,Elia Kazan,Crime|Drama|Romance,108,910000,9600000,English,USA,Not Rated, Black and White,http://www.imdb.com/title/tt0047296/?ref_=fn_tt_tt_1,281,8.2
Seven Samurai ,1954,Akira Kurosawa,Action|Adventure|Drama,202,2000000,269061,Japanese,Japan,Unrated, Black and White,http://www.imdb.com/title/tt0047478/?ref_=fn_tt_tt_1,596,8.7
The Bridge on the River Kwai ,1957,David Lean,Adventure|Drama|War,161,3000000,27200000,English,UK,PG,Color,http://www.imdb.com/title/tt0050212/?ref_=fn_tt_tt_1,273,8.2
Some Like It Hot ,1959,Billy Wilder,Comedy|Music|Romance,120,2883848,25000000,English,USA,Not Rated, Black and White,http://www.imdb.com/title/tt0053291/?ref_=fn_tt_tt_1,350,8.3
